 AAPL   TSLA  AVGO  MSFT  GOOG  META
  NaN    NaN   NaN   NaN   NaN   NaN
 0.42  -2.93  1.45  0.44  0.29 -0.26
-3.32  -7.17 -2.62 -1.91 -1.70  5.18
 8.90   7.39  7.90  8.23  7.75 10.25
 1.93   2.75  2.27  1.70  2.72  1.03
-0.95  -2.56 -0.94 -2.25 -0.72  1.06
 1.19   1.82  2.18  0.17  2.80  2.50
-0.83  -3.86 -2.42 -0.10  0.27 -3.29
 1.30  -2.01  0.07 -0.02 -0.49 -1.57
 0.38  -1.63  0.60 -0.19 -0.71  0.54
-2.17  -6.84  0.44  0.34 -2.01 -1.95
 1.47   1.22  2.44  1.23  1.57  1.44
 0.59   7.82  0.68  1.04  1.53  0.72
-1.96  -0.19 -0.70 -0.04 -1.23 -0.74
-2.63   0.03 -1.45 -2.32 -1.38 -2.36
-2.11  -1.14 -0.16 -0.59 -0.84  0.63
 4.86   7.67  5.68  6.16  6.30  7.89
 0.19   0.00 -0.05 -0.18 -0.17  1.98
-0.34   0.08 -1.81  0.13 -0.44  2.53
-0.80  -6.37 -1.88 -1.89 -0.95 -0.86
-2.54  -1.44 -0.91 -2.03 -2.56 -6.79
-1.38  -3.21 -1.39 -0.31 -2.22 -0.17
 1.21  -0.34  2.43  1.24 -1.26  1.23
-0.34   3.23  2.57 -0.80 -0.94  0.49
 1.64  -6.27  2.19  2.89  0.53 -1.03
 0.68  -4.09  2.59  1.75  2.45  4.74
-1.55  -2.58  0.60  0.12 -0.56  1.20
-4.69   0.55 -2.86 -3.19 -4.31 -4.47
-1.46  -4.72 -0.37 -1.73 -0.37  2.82
-1.59  -0.24 -1.13 -1.73 -1.88 -4.14
-0.05  -8.05 -1.02  0.56  0.54  2.28
 2.38  -0.17  3.16  1.09  0.69  2.28
-2.38  -8.88 -1.45 -2.55 -2.20 -2.20
-0.28  -1.76 -0.12  0.23  1.76  0.79
-1.39 -11.41  0.20 -0.74 -2.09 -0.98
-3.07   3.31 -1.56 -1.03 -1.67 -1.08
 2.83   8.08  2.37  2.76  2.88  4.01
 0.25   1.12  0.24 -0.49 -0.25  0.07
-3.74 -12.24 -1.01 -0.10  1.09  3.66
 1.03   5.12  1.22 -4.37 -1.10  2.11
-1.06  -2.90 -0.93 -2.96 -2.19 -0.34
 3.68   2.47  6.02  1.18  1.60  2.43
 0.41   5.93 -1.96  0.97  0.73 -0.42
 0.45  -0.77 -0.34  0.76  0.50  2.72
 2.11   3.68  0.56  3.02  3.38 -0.08
-0.06   0.28  0.66  1.16 -0.38  2.87
 1.01  -0.94 -0.51  0.30  0.97  0.20
 0.88   7.43  0.04  0.47 -0.69 -1.18
-0.54  -2.06 -0.85 -1.89 -0.41 -1.73
 0.04  -1.25 -1.93 -1.65  2.32  2.35
 1.92   4.91  1.34  3.57  5.72  2.37
 2.35   7.74  1.90  0.98  1.94  2.80
 1.01   0.10  0.58 -0.22 -1.98 -0.09
-0.47   0.38  0.11 -0.59 -2.50 -1.15
 1.48  10.97  2.20  3.07  2.51  4.10
 1.37  11.00 -1.27  0.06  1.56  3.01
-2.01  -6.32 -1.61 -2.20 -2.74 -3.08
 0.90   3.94  0.61  2.10  1.96  1.30
 0.79   4.73  3.03  1.99  1.56  2.79
 3.71   3.78  0.50  4.69  7.27 23.28
 2.44   0.91 -1.35 -2.36 -3.29 -1.19
